bc,bcm,bcode,bname,hd,mbc,oc,sca,sc,st
88.75,113.25,CE,Civil Engineering,2621 . Er.Perumal Manimekalai College Of Engineering,100.00,126.00,,112.25,
103.75,,CS,Computer Science And Engineering,1233 . Adhi College Of Engineering And Technology,117.50,156.50,,,
,,ME,Mechanical Engineering,1201 . Arignar Anna Institute Of Science And Technology,,92.75,,,
165.00,157.50,EE,Electrical And Electronics Engineering,4962 . National Engineering College (AUT),149.25,172.50,,128.75,
196.25,193.50,CS,Computer Science And Engineering,1315 . Sri Sivasubramaniya Nadar College Of Engineering,194.00,196.75,169.75,184.00,166.00
,,CE,Civil Engineering,5924 . Ganapathy Chettiar College Of Engineering And Technology,,125.00,,,
,,CS,Computer Science And Engineering,5862 . R.V.S. School Of Engineering And Technology,,85.75,,,
181.00,182.50,EE,Electrical And Electronics Engineering,5986 . Velammal College Of Engineering And Technology,165.25,184.00,,127.25,
,,EC,Electronics And Comm. Engineering,1445 . Sri Rangapoopathi College Of Engineering,,86.50,,,
,,ME,Mechanical Engineering,2360 . Suguna College Of Engineering,,90.00,,,
,,CE,Civil Engineering,1126 . JNN  Institute Of Engineering,,115.00,,,
,,EE,Electrical And Electronics Engineering,1436 . A.R. Engineering College,,82.75,,,
,,EC,Electronics And Comm. Engineering,1107 . Jaya Institute Of Technology,,93.25,,,
88.75,,CS,Computer Science And Engineering,5915 . SACS M.A.V.M.M Engineering College,91.50,111.25,85.25,,
,,CS,Computer Science And Engineering,1319 . Thangavelu Engineering College,,82.75,,,
159.50,141.25,EC,Electronics And Comm. Engineering,1140 . Jeppiaar Institute Of Technology,148.00,166.50,,110.00,
,,CS,Computer Science And Engineering,1208 . Kanchi Pallavan Engineering College,,95.25,,,
,,EC,Electronics And Comm. Engineering,1444 . Chendu College Of Engineering And Technology,,82.25,,,
,,EC,Electronics And Comm. Engineering,4949 . PSN Institute Of Technology And Science,,112.00,,,
,,CS,Computer Science And Engineering,1141 . R.V.S. Padhmavathy College Of Engineering & Technology,,93.50,,,
132.25,104.50,EC,Electronics And Comm. Engineering,2740 . Hindusthan Institute Of Technology,113.25,152.50,,93.25,
,,ME,Mechanical Engineering,1528 . Krs College Of Engineering,,95.25,,,
,,CS,Computer Science And Engineering,1222 . P.B. College Of Engineering,,86.00,,,
